Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Edad media de la población;2022;47,2
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Porcentaje de población menor de 18 años;2022;8,7
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Porcentaje de población de 65 y más años;2022;23,5
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Población;2022;1.147
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Porcentaje de población española;2022;78,2
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Edad media de la población;2022;42,1
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Porcentaje de población menor de 18 años;2022;6,8
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Porcentaje de población de 65 y más años;2022;14,4
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Población;2022;935
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Porcentaje de población española;2022;71,2
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Edad media de la población;2022;43,7
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Porcentaje de población menor de 18 años;2022;7,3
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Porcentaje de población de 65 y más años;2022;16,5
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Población;2022;1.822
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Porcentaje de población española;2022;68,6
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Edad media de la población;2022;46,8
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Porcentaje de población menor de 18 años;2022;8
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Porcentaje de población de 65 y más años;2022;23,3
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Población;2022;1.220
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Porcentaje de población española;2022;81,5
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Edad media de la población;2022;47,2
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Porcentaje de población menor de 18 años;2022;6,8
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Porcentaje de población de 65 y más años;2022;20,9
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Población;2022;1.679
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Porcentaje de población española;2022;80,1
28079 Madrid;2807901 Madrid distrito 01;2807901007 Madrid sección 01007;Edad media de la población;2022;46,4
28079 Madrid;2807901 Madrid distrito 01;2807901007 Madrid sección 01007;Porcentaje de población menor de 18 años;2022;8,7
28079 Madrid;2807901 Madrid distrito 01;2807901007 Madrid sección 01007;Porcentaje de población de 65 y más años;2022;22,2
28079 Madrid;2807901 Madrid distrito 01;2807901007 Madrid sección 01007;Población;2022;839
28079 Madrid;2807901 Madrid distrito 01;2807901007 Madrid sección 01007;Porcentaje de población española;2022;81,3
28079 Madrid;2807901 Madrid distrito 01;2807901008 Madrid sección 01008;Edad media de la población;2022;47,8
28079 Madrid;2807901 Madrid distrito 01;2807901008 Madrid sección 01008;Porcentaje de población menor de 18 años;2022;7,6
28079 Madrid;2807901 Madrid distrito 01;2807901008 Madrid sección 01008;Porcentaje de población de 65 y más años;2022;23,8
28079 Madrid;2807901 Madrid distrito 01;2807901008 Madrid sección 01008;Población;2022;798
28079 Madrid;2807901 Madrid distrito 01;2807901008 Madrid sección 01008;Porcentaje de población española;2022;78,8
28079 Madrid;2807901 Madrid distrito 01;2807901009 Madrid sección 01009;Edad media de la población;2022;45,5
28079 Madrid;2807901 Madrid distrito 01;2807901009 Madrid sección 01009;Porcentaje de población menor de 18 años;2022;8,8
28079 Madrid;2807901 Madrid distrito 01;2807901009 Madrid sección 01009;Porcentaje de población de 65 y más años;2022;19,6
28079 Madrid;2807901 Madrid distrito 01;2807901009 Madrid sección 01009;Población;2022;1.371
28079 Madrid;2807901 Madrid distrito 01;2807901009 Madrid sección 01009;Porcentaje de población española;2022;78,9
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Edad media de la población;2022;45,1
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Porcentaje de población menor de 18 años;2022;7,8
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Porcentaje de población de 65 y más años;2022;18,3
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Población;2022;1.104
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Porcentaje de población española;2022;78,6
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Edad media de la población;2022;44
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Porcentaje de población menor de 18 años;2022;6,5
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Porcentaje de población de 65 y más años;2022;17,5
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Población;2022;739
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Porcentaje de población española;2022;75,2
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Edad media de la población;2022;42,3
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Porcentaje de población menor de 18 años;2022;8,6
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Porcentaje de población de 65 y más años;2022;13,7
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Población;2022;1.216
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Porcentaje de población española;2022;73,6
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Edad media de la población;2022;43,8
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Porcentaje de población menor de 18 años;2022;10,1
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Porcentaje de población de 65 y más años;2022;16,9
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Población;2022;1.379
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Porcentaje de población española;2022;83
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Edad media de la población;2022;45,8
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Porcentaje de población menor de 18 años;2022;7,7
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Porcentaje de población de 65 y más años;2022;20
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Población;2022;1.432
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Porcentaje de población española;2022;80,5
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Edad media de la población;2022;44,4
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Porcentaje de población menor de 18 años;2022;9,5
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Porcentaje de población de 65 y más años;2022;16,9
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Población;2022;1.086
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Porcentaje de población española;2022;80
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Edad media de la población;2022;47,9
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Porcentaje de población menor de 18 años;2022;8,3
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Porcentaje de población de 65 y más años;2022;23,9
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Población;2022;1.735
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Porcentaje de población española;2022;86,3
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Edad media de la población;2022;45,8
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Porcentaje de población menor de 18 años;2022;7,8
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Porcentaje de población de 65 y más años;2022;19,9
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Población;2022;1.299
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Porcentaje de población española;2022;84,8
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Edad media de la población;2022;45,4
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Porcentaje de población menor de 18 años;2022;9,3
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Porcentaje de población de 65 y más años;2022;19,6
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Población;2022;1.233
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Porcentaje de población española;2022;83
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Edad media de la población;2022;46,8
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Porcentaje de población menor de 18 años;2022;6,9
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Porcentaje de población de 65 y más años;2022;20,7
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Población;2022;1.735
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Porcentaje de población española;2022;85,6
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Edad media de la población;2022;43,8
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Porcentaje de población menor de 18 años;2022;10,1
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Porcentaje de población de 65 y más años;2022;16,6
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Población;2022;1.280
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Porcentaje de población española;2022;78,9
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Edad media de la población;2022;42,3
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Porcentaje de población menor de 18 años;2022;8,6
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Porcentaje de población de 65 y más años;2022;13,5
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Población;2022;1.413
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Porcentaje de población española;2022;70,1
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Edad media de la población;2022;42,5
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Porcentaje de población menor de 18 años;2022;6,5
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Porcentaje de población de 65 y más años;2022;12,8
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Población;2022;1.216
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Porcentaje de población española;2022;74,1
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Edad media de la población;2022;42,4
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Porcentaje de población menor de 18 años;2022;9,8
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Porcentaje de población de 65 y más años;2022;13,5
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Población;2022;1.037
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Porcentaje de población española;2022;73,6
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Edad media de la población;2022;43,4
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Porcentaje de población menor de 18 años;2022;7,9
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Porcentaje de población de 65 y más años;2022;16,2
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Población;2022;1.449
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Porcentaje de población española;2022;72,1
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Edad media de la población;2022;43,6
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Porcentaje de población menor de 18 años;2022;7,2
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Porcentaje de población de 65 y más años;2022;14,1
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Población;2022;1.132
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Porcentaje de población española;2022;73,2
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Edad media de la población;2022;43,1
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Porcentaje de población menor de 18 años;2022;7,2
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Porcentaje de población de 65 y más años;2022;13,2
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Población;2022;1.327
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Porcentaje de población española;2022;71,5
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Edad media de la población;2022;42,6
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Porcentaje de población menor de 18 años;2022;8,9
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Porcentaje de población de 65 y más años;2022;14,1
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Población;2022;1.364
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Porcentaje de población española;2022;72,2
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Edad media de la población;2022;41,6
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Porcentaje de población menor de 18 años;2022;11,1
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Porcentaje de población de 65 y más años;2022;12,8
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Población;2022;1.057
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Porcentaje de población española;2022;70,5
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Edad media de la población;2022;42,2
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Porcentaje de población menor de 18 años;2022;9,8
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Porcentaje de población de 65 y más años;2022;13
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Población;2022;1.131
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Porcentaje de población española;2022;74,2
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Edad media de la población;2022;41,6
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Porcentaje de población menor de 18 años;2022;9,9
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Porcentaje de población de 65 y más años;2022;12,2
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Población;2022;2.087
