Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Renta neta media por persona;2022;26.032
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Renta neta media por hogar;2022;55.934
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Media de la renta por unidad de consumo;2022;37.975
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Mediana de la renta por unidad de consumo;2022;27.650
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Renta bruta media por persona;2022;39.051
28079 Madrid;2807901 Madrid distrito 01;2807901001 Madrid sección 01001;Renta bruta media por hogar;2022;83.907
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Renta neta media por persona;2022;18.878
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Renta neta media por hogar;2022;38.385
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Media de la renta por unidad de consumo;2022;25.467
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Mediana de la renta por unidad de consumo;2022;19.950
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Renta bruta media por persona;2022;24.140
28079 Madrid;2807901 Madrid distrito 01;2807901002 Madrid sección 01002;Renta bruta media por hogar;2022;49.084
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Renta neta media por persona;2022;19.309
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Renta neta media por hogar;2022;40.644
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Media de la renta por unidad de consumo;2022;26.543
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Mediana de la renta por unidad de consumo;2022;20.650
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Renta bruta media por persona;2022;24.463
28079 Madrid;2807901 Madrid distrito 01;2807901003 Madrid sección 01003;Renta bruta media por hogar;2022;51.492
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Renta neta media por persona;2022;32.105
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Renta neta media por hogar;2022;65.863
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Media de la renta por unidad de consumo;2022;45.804
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Mediana de la renta por unidad de consumo;2022;29.750
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Renta bruta media por persona;2022;44.561
28079 Madrid;2807901 Madrid distrito 01;2807901004 Madrid sección 01004;Renta bruta media por hogar;2022;91.415
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Renta neta media por persona;2022;26.540
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Renta neta media por hogar;2022;51.400
28079 Madrid;2807901 Madrid distrito 01;2807901006 Madrid sección 01006;Media de la renta por unidad de consumo;2022;37.078
